Occurrence;From;To;Sentiment;Index;Context
He took hold of Ice with both hands and said , " In the name of Robert of the House Baratheon , the First of his Name , King of the Andals and the Rhoynar and the First Men , Lord of the Seven Kingdoms and Protector of the Realm , by the word of Eddard of the House Stark , Lord of Winterfell and Warden of the North , I do sentence you to die . ";He,Ice,;I,you,;0.1;322;10
Bran 's bastard brother Jon Snow moved closer . " Keep the pony well in hand , " he whispered . " And do n't look away . Father will know if you do . ";bastard brother Jon Snow,he,;the pony,Father,you,;0.0;324;10
" Ass , " Jon muttered , low enough so Greyjoy did not hear .;Jon,low enough so Greyjoy,;;0.0;335;11
He put a hand on Bran 's shoulder , and Bran looked over at his bastard brother . " You did well , " Jon told him solemnly .;He,Bran,Jon,;You,;0.0;336;11
" The deserter died bravely , " Robb said .;Robb,;The deserter,;0.0;340;11
He was big and broad and growing every day , with his mother 's coloring , the fair skin , red-brown hair , and blue eyes of the Tullys of Riverrun . " He had courage , at the least . ";He,the Tullys,Riverrun,;He,courage,;0.0925;341;11
" No , " Jon Snow said quietly . " It was not courage . This one was dead of fear . You could see it in his eyes , Stark . ";Jon Snow,;It,You,it,dead of fear,it,his eyes,;-0.2;342;11
Robb was not impressed . " The Others take his eyes , " he swore . " He died well . Race you to the bridge ? ";Robb,he,;The Others,his eyes,He,;1.0;346;11
" Done , " Jon said , kicking his horse forward .;Jon,;;0.0;347;11
So deep in thought was he that he never heard the rest of the party until his father moved up to ride beside him . " Are you well , Bran ? ";he,he,his father,;you,;0.0;354;12
" Yes , Father , " Bran told him .;Bran,;;0.0;356;12
Wrapped in his furs and leathers , mounted on his great warhorse , his lord father loomed over him like a giant . " Robb says the man died bravely , but Jon says he was afraid . ";his lord father,him,;Robb,the man,Jon,he,the man,he,;0.0666666666667;358;12
" What do you think ? ";;you,you,;0.0;359;12
Bran thought about it . " Can a man still be brave if he 's afraid ? ";Bran,;he,;0.1;361;12
" That is the only time a man can be brave , " his father told him . " Do you understand why I did it ? ";his father,;a man,a man,you,I,you,it,;0.4;362;12
" He was a wildling , " Bran said . " They carry off women and sell them to the Others . ";Bran,;He,a wildling,They,them,;0.0;363;12
His lord father smiled . " Old Nan has been telling you stories again . In truth , the man was an oathbreaker , a deserter from the Night 's Watch . No man is more dangerous . The deserter knows his life is forfeit if he is taken , so he will not flinch from any crime , no matter how vile . But you mistake me . The question was not why the man had to die , but why I must do it . ";His lord father,;Old Nan,you,the man,No man,The deserter,his life,he,he,you,The question,the man,I,you,an oathbreaker,his life,me,it,;0.15;364;12
Bran had no answer for that . " King Robert has a headsman , " he said , uncertainly .;Bran,he,;King Robert,a headsman,;0.0;365;12
" He does , " his father admitted . " As did the Targaryen kings before him . Yet our way is the older way . The blood of the First Men still flows in the veins of the Starks , and we hold to the belief that the man who passes the sentence should swing the sword . If you would take a man 's life , you owe it to him to look into his eyes and hear his final words . And if you cannot bear to do that , then perhaps the man does not deserve to die .;his father,;He,our way,we,the sentence,you,you,you,the man,the Targaryen kings,the older way,the sentence,the sword,a man,it,his final words,;0.138888888889;366;12
" One day , Bran , you will be Robb 's bannerman , holding a keep of your own for your brother and your king , and justice will fall to you . When that day comes , you must take no pleasure in the task , but neither must you look away . A ruler who hides behind paid executioners soon forgets what death is . ";;you,justice,that day,you,you,executioners,Robb,no pleasure,you,executioners,;0.1;367;12
He waved and shouted down at them . " Father , Bran , come quickly , see what Robb has found ! ";He,;Robb,;-0.194444444444;369;12
Jory rode up beside them . " Trouble , my lord ? ";Jory,;;0.0;371;12
" Beyond a doubt , " his lord father said . " Come , let us see what mischief my sons have rooted out now . ";his lord father,;us,my sons,us,my sons,;0.0;372;12
Bran heard the breath go out of him . " Gods ! ";Bran,;;0.0;382;13
Jory 's sword was already out . " Robb , get away from it ! ";sword,Jory,;;0.0;384;13
Robb grinned and looked up from the bundle in his arms . " She ca n't hurt you , " he said . " She 's dead , Jory . ";Robb,he,;She,you,She,;-0.2;386;13
By then Jon , Jory , and Theon Greyjoy had all dismounted as well . " What in the seven hells is it ? ";Theon Greyjoy,;the seven hells,it,;0.0;390;13
" A wolf , " Robb told him .;Robb,;;0.0;392;13
" A freak , " Greyjoy said . " Look at the size of it . ";Greyjoy,;;0.0;393;13
" It 's no freak , " Jon said calmly . " That 's a direwolf . They grow larger than the other kind . ";Jon,;It,no freak,They,a direwolf,;0.158333333333;400;14
Theon Greyjoy said , " There 's not been a direwolf sighted south of the Wall in two hundred years . ";Theon Greyjoy,;a direwolf,a direwolf,;0.0;401;14
" I see one now , " Jon replied .;Jon,;I,;0.0;402;14
Bran reached out hesitantly . " Go on , " Robb told him . " You can touch him . ";Bran,Robb,;You,him,;0.0;408;14
Bran gave the pup a quick nervous stroke , then turned as Jon said , " Here you go . ";Bran,Jon,;you,;0.333333333333;409;14
His half brother put a second pup into his arms . " There are five of them . ";;;-0.0833333333333;410;14
" Direwolves loose in the realm , after so many years , " muttered Hullen , the master of horse . " I like it not . ";Hullen,;I,it,;0.211538461538;413;14
" It is a sign , " Jory said .;Jory,;It,a sign,;0.0;414;14
Father frowned . " This is only a dead animal , Jory , " he said .;Father,he,;;-0.1;415;14
Snow crunched under his boots as he moved around the body . " Do we know what killed her ? ";Snow,he,;we,we,her,;0.0;417;14
" There 's something in the throat , " Robb told him , proud to have found the answer before his father even asked . " There , just under the jaw . ";Robb,his father,;something,;0.8;418;14
His father tossed the antler to the side and cleansed his hands in the snow . " I 'm surprised she lived long enough to whelp , " he said .;His father,he,;I,she,she,;0.0166666666667;425;15
" Maybe she did n't , " Jory said . " I 've heard tales ... maybe the bitch was already dead when the pups came . ";Jory,;she,I,the bitch,the pups,tales,;-0.2;427;15
" Born with the dead , " another man put in . " Worse luck . ";;;-0.3;428;15
" No matter , " said Hullen . " They be dead soon enough too . ";Hullen,;They,;-0.1;429;15
" The sooner the better , " Theon Greyjoy agreed .;Theon Greyjoy,;;0.5;431;15
He drew his sword . " Give the beast here , Bran . ";He,;the beast,;0.0;432;15
The little thing squirmed against him , as if it heard and understood . " No ! ";The little thing,if it,;;-0.234375;433;15
Bran cried out fiercely . " It 's mine . ";Bran,;It,mine,;0.0;434;15
" Put away your sword , Greyjoy , " Robb said .;Robb,;;0.0;435;15
For a moment he sounded as commanding as their father , like the lord he would someday be . " We will keep these pups . ";a moment he,the lord he,;We,these pups,;0.0;436;15
" You cannot do that , boy , " said Harwin , who was Hullen 's son .;Harwin,Hullen,;You,;0.0;437;15
" It be a mercy to kill them , " Hullen said .;Hullen,;It,a mercy,them,;0.0;438;15
Bran looked to his lord father for rescue , but got only a frown , a furrowed brow . " Hullen speaks truly , son . Better a swift death than a hard one from cold and starvation . ";Bran,;Hullen,;-0.0979166666667;439;15
" No ! ";;;0.0;440;15
Robb resisted stubbornly . " Ser Rodrik 's red bitch whelped again last week , " he said . " It was a small litter , only two live pups . She 'll have milk enough . ";Robb,he,;red bitch,again last week,It,She,a small litter,pups,;-0.0189393939394;443;15
" She 'll rip them apart when they try to nurse . ";;She,they,them,;0.0;444;15
" Lord Stark , " Jon said .;Jon,;;-0.2;445;15
Bran looked at him with desperate hope . " There are five pups , " he told Father . " Three male , two female . ";Bran,he,;five pups,;-0.2;447;15
" What of it , Jon ? ";;;0.0;448;15
" You have five trueborn children , " Jon said . " Three sons , two daughters . The direwolf is the sigil of your House . Your children were meant to have these pups , my lord . ";Jon,;You,five trueborn children,The direwolf,Your children,the sigil,these pups,;0.0;449;15
Their father understood as well . " You want no pup for yourself , Jon ? ";Their father,;You,no pup,;0.0;455;15
" The direwolf graces the banners of House Stark , " Jon pointed out . " I am no Stark , Father . ";Jon,;The direwolf,the banners,I,no Stark,;-0.2;457;15
Robb rushed into the silence he left . " I will nurse him myself , Father , " he promised . " I will soak a towel with warm milk , and give him suck from that . ";Robb,the silence he,he,;I,him myself,I,him,a towel,him,;0.3;459;15
" Me too ! ";;;0.0;460;15
The lord weighed his sons long and carefully with his eyes . " Easy to say , and harder to do . I will not have you wasting the servants ' time with this . If you want these pups , you will feed them yourselves . Is that understood ? ";The lord,;I,you,you,you,you,the servants,these pups,them yourselves,;0.0944444444444;462;15
" You must train them as well , " their father said . " You must train them . The kennelmaster will have nothing to do with these monsters , I promise you that . And the gods help you if you neglect them , or brutalize them , or train them badly . These are not dogs to beg for treats and slink off at a kick . A direwolf will rip a man 's arm off his shoulder as easily as a dog will kill a rat . Are you sure you want this ? ";their father,;You,them,them,You,The kennelmaster,I,the gods,you,you,A direwolf,a dog,you sure you,them,you,you,you,them,them,a man,a rat,you sure you,;0.5;465;15
" Yes , Father , " Bran said .;Bran,;;0.0;466;15
" Yes , " Robb agreed .;Robb,;;0.0;467;15
" The pups may die anyway , despite all you do . ";;The pups,all you,;0.0;468;15
" They wo n't die , " Robb said . " We wo n't let them die . ";Robb,;They,We,them,them,;0.0;469;15
" Keep them , then . Jory , Desmond , gather up the other pups . It 's time we were back to Winterfell . ";;It,time we,them,time we,;-0.0625;470;15
" What is it , Jon ? ";;it,;0.0;475;15
" Ca n't you hear it ? ";;you,it,;0.0;477;15
" There , " Jon said .;Jon,;;0.0;479;15
" He must have crawled away from the others , " Jon said .;Jon,;He,;0.0;483;15
" Or been driven away , " their father said , looking at the sixth pup .;their father,;;0.0;484;15
" An albino , " Theon Greyjoy said with wry amusement . " This one will die even faster than the others . ";Theon Greyjoy,;;0.0;488;15
Jon Snow gave his father 's ward a long , chilling look . " I think not , Greyjoy , " he said . " This one belongs to me . ";Jon Snow,his father,he,;I,;-0.275;489;15
At the center of the grove an ancient weirwood brooded over a small pool where the waters were black and cold . " The heart tree , " Ned called it .;an ancient weirwood,the waters,Ned,;;-0.279166666667;512;16
A thousand years of humus lay thick upon the godswood floor , swallowing the sound of her feet , but the red eyes of the weirwood seemed to follow her as she came . " Ned , " she called softly .;humus,the weirwood,she,she,;;0.0333333333333;523;17
He lifted his head to look at her . " Catelyn , " he said .;He,he,;;0.0;524;17
His voice was distant and formal . " Where are the children ? ";His voice,;the children,;-0.1;525;17
He would always ask her that . " In the kitchen , arguing about names for the wolf pups . ";He,;;0.0;526;17
She could feel the eyes watching her , but she did her best to ignore them . " Arya is already in love , and Sansa is charmed and gracious , but Rickon is not quite sure . ";She,the eyes,she,;Arya,Sansa,Rickon,;0.666666666667;528;17
" Is he afraid ? ";;he,;-0.6;529;17
" A little , " she admitted . " He is only three . ";she,;He,;-0.09375;531;17
Ned frowned . " He must learn to face his fears . He will not be three forever . And winter is coming . ";Ned,;He,He,winter,his fears,;0.0;532;17
" Yes , " Catelyn agreed .;Catelyn,;;0.0;533;17
" The man died well , I 'll give him that , " Ned said .;Ned,;The man,I,him,him,;0.0;541;18
He ran it lightly up the greatsword as he spoke , polishing the metal to a dark glow . " I was glad for Bran 's sake . You would have been proud of Bran . ";He,he,;I,You,proud,;0.383333333333;543;18
" I am always proud of Bran , " Catelyn replied , watching the sword as he stroked it .;Catelyn,he,;I,;0.8;544;18
" He was the fourth this year , " Ned said grimly . " The poor man was half-mad . Something had put a fear in him so deep that my words could not reach him . ";Ned,;He,this year,The poor man,Something,my words,a fear,him,;-0.133333333333;550;18
He sighed . " Ben writes that the strength of the Night 's Watch is down below a thousand . It 's not only desertions . They are losing men on rangings as well . ";He,;Ben,Watch,It,They,men,;-0.0777777777778;551;18
" Is it the wildlings ? ";;it the wildlings,;0.0;552;18
" Who else ? ";;;0.0;554;18
Ned lifted Ice , looked down the cool steel length of it . " And it will only grow worse . The day may come when I will have no choice but to call the banners and ride north to deal with this King-beyond-the-Wall for good and all . ";Ned,;it,The day,I,no choice,the banners,;0.0888888888889;555;18
" Beyond the Wall ? ";;;0.0;556;18
Ned saw the dread on her face . " Mance Rayder is nothing for us to fear . ";Ned,;Mance Rayder,;0.0;558;18
" There are darker things beyond the Wall . ";;darker things,;0.0;559;18
His smile was gentle . " You listen to too many of Old Nan 's stories . The Others are as dead as the children of the forest , gone eight thousand years . Maester Luwin will tell you they never lived at all . No living man has ever seen one . ";His smile,;You,The Others,Maester Luwin,you they,No living man,eight thousand years,you they,;0.18;561;18
" Until this morning , no living man had ever seen a direwolf either , " Catelyn reminded him .;Catelyn,;no living man,;0.0;562;18
" I ought to know better than to argue with a Tully , " he said with a rueful smile .;he,;I,;0.4;563;18
He slid Ice back into its sheath . " You did not come here to tell me crib tales . I know how little you like this place . What is it , my lady ? ";He,Ice back,;You,me,I,little you,me,tales,this place,it,;-0.09375;564;18
Catelyn took her husband 's hand . " There was grievous news today , my lord . I did not wish to trouble you until you had cleansed yourself . ";Catelyn,;I,you,you,grievous news today,you,you,yourself,;-0.8;565;18
There was no way to soften the blow , so she told him straight . " I am so sorry , my love . Jon Arryn is dead . ";she,;I,Jon Arryn,;0.0;566;18
" Jon ... ";;;0.0;571;18
he said . " Is this news certain ? ";he,;this news,;0.214285714286;572;18
" It was the king 's seal , and the letter is in Robert 's own hand . I saved it for you . He said Lord Arryn was taken quickly . Even Maester Pycelle was helpless , but he brought the milk of the poppy , so Jon did not linger long in pain . ";;It,the letter,I,it,He,Lord Arryn,Maester Pycelle,he,Jon,the king,it,you,Lord Arryn,the milk,;0.275;573;18
" That is some small mercy , I suppose , " he said .;he,;I,some small mercy,;-0.25;574;18
She could see the grief on his face , but even then he thought first of her . " Your sister , " he said . " And Jon 's boy . What word of them ? ";She,he,he,;;-0.275;575;18
" The message said only that they were well , and had returned to the Eyrie , " Catelyn said . " I wish they had gone to Riverrun instead . The Eyrie is high and lonely , and it was ever her husband 's place , not hers . Lord Jon 's memory will haunt each stone . I know my sister . She needs the comfort of family and friends around her . ";Catelyn,;The message,they,I,they,The Eyrie,it,memory,I,She,they,each stone,my sister,the comfort,;0.02;576;18
" Your uncle waits in the Vale , does he not ? Jon named him Knight of the Gate , I'd heard . ";;Your uncle,Jon,I'd,he,him Knight,;0.0;577;18
Catelyn nodded . " Brynden will do what he can for her , and for the boy . That is some comfort , but still ... ";Catelyn,;Brynden,he,some comfort,;0.0;578;18
" Go to her , " Ned urged . " Take the children . Fill her halls with noise and shouts and laughter . That boy of hers needs other children about him , and Lysa should not be alone in her grief . ";Ned,;hers,Lysa,the children,her halls,other children,;-0.4625;579;18
" Would that I could , " Catelyn said . " The letter had other tidings . The king is riding to Winterfell to seek you out . ";Catelyn,;I,The letter,The king,other tidings,you,;-0.125;580;18
It took Ned a moment to comprehend her words , but when the understanding came , the darkness left his eyes . " Robert is coming here ? ";It,the understanding,the darkness,;Robert,;0.0;581;18
Dread coiled within her like a snake , but she forced herself to smile at this man she loved , this man who put no faith in signs . " I knew that would please you , " she said . " We should send word to your brother on the Wall . ";Dread,she,this man she,she,;I,please you,We,;0.233333333333;585;18
" Yes , of course , " he agreed . " Ben will want to be here . I shall tell Maester Luwin to send his swiftest bird . ";he,;Ben,I,Maester Luwin,his swiftest bird,;0.0;586;18
Ned rose and pulled her to her feet . " Damnation , how many years has it been ? And he gives us no more notice than this ? How many in his party , did the message say ? ";Ned,;many years,it,he,the message,it,us no more notice,the message,;0.525;587;18
" I should think a hundred knights , at the least , with all their retainers , and half again as many freeriders . Cersei and the children travel with them . ";;I,Cersei and the children,a hundred knights,;0.0111111111111;588;18
" Robert will keep an easy pace for their sakes , " he said . " It is just as well . That will give us more time to prepare . ";he,;Robert,an easy pace,It,give us more time,;0.466666666667;589;18
" The queen 's brothers are also in the party , " she told him .;she,;brothers,;0.0;590;18
The Lannisters of Casterly Rock had come late to Robert 's cause , when victory was all but certain , and he had never forgiven them . " Well , if the price for Robert 's company is an infestation of Lannisters , so be it . It sounds as though Robert is bringing half his court . ";Casterly Rock,victory,he,;company,It,though Robert,an infestation,it,his court,;-0.084126984127;593;18
" Where the king goes , the realm follows , " she said .;she,;the king,the realm,;0.0;594;18
" It will be good to see the children . The youngest was still sucking at the Lannister woman 's teat the last time I saw him . He must be , what , five by now ? ";;It,the Lannister woman,the last time I,He,the children,the last time I,him,;0.325;595;18
" Prince Tommen is seven , " she told him . " The same age as Bran . Please , Ned , guard your tongue . The Lannister woman is our queen , and her pride is said to grow with every passing year . ";she,;Prince Tommen,The Lannister woman,her pride,your tongue,our queen,;0.0;596;18
Ned squeezed her hand . " There must be a feast , of course , with singers , and Robert will want to hunt . I shall send Jory south with an honor guard to meet them on the kingsroad and escort them back . Gods , how are we going to feed them all ? On his way already , you said ? Damn the man . Damn his royal hide . ";Ned,;Robert,I,them,we,you,a feast,Jory south,them,the kingsroad,we,them,the man,his royal hide,;0.0;597;18
" This is beauty . Touch it . Go on . Caress the fabric . ";;the fabric,;0.0;602;19
She pulled her hand away . " Is it really mine ? ";She,;it,;0.0;607;19
" A gift from the Magister Illyrio , " Viserys said , smiling .;Viserys,;;0.0;608;19
Her brother was in a high mood tonight . " The color will bring out the violet in your eyes . And you shall have gold as well , and jewels of all sorts . Illyrio has promised . Tonight you must look like a princess . ";Her brother,;The color,you,Illyrio,Tonight you,;0.16;609;19
Perhaps she had never really known . " Why does he give us so much ? ";she,;he,he,us,;0.05;612;19
she asked . " What does he want from us ? ";she,;he,he,;0.0;613;19
" Illyrio is no fool , " Viserys said .;Viserys,;Illyrio,no fool,;0.0;616;19
He was a gaunt young man with nervous hands and a feverish look in his pale lilac eyes . " The magister knows that I will not forget my friends when I come into my throne . ";He,;The magister,I,I,my friends,;0.0;617;19
Viserys called it " waking the dragon . ";Viserys,;the dragon,;0.0;624;20
Her brother hung the gown beside the door . " Illyrio will send the slaves to bathe you . Be sure you wash off the stink of the stables . Khal Drogo has a thousand horses , tonight he looks for a different sort of mount . ";Her brother,;Illyrio,sure you,Khal Drogo,he,the slaves,you,sure you,a thousand horses,;0.25;625;20
He studied her critically . " You still slouch . Straighten yourself . ";He,;yourself,;0.0;626;20
He pushed back her shoulders with his hands . " Let them see that you have a woman 's shape now . ";He,;them,you,them,a woman,;0.0;627;20
His fingers brushed lightly over her budding breasts and tightened on a nipple . " You will not fail me tonight . If you do , it will go hard for you . You do n't want to wake the dragon , do you ? ";His fingers,;You,you,it,You,me,the dragon,you,;-0.172916666667;628;20
His fingers twisted her , the pinch cruelly hard through the rough fabric of her tunic . " Do you ? ";His fingers,;you,;-0.297222222222;629;20
" No , " Dany said meekly .;Dany,;;0.0;631;20
Her brother smiled . " Good . ";Her brother,;;0.625;632;20
He touched her hair , almost with affection . " When they write the history of my reign , sweet sister , they will say that it began tonight . ";He,;they,they,it,the history,;0.35;633;20
Her brother had a simpler name . " Our land , " he called it .;Her brother,he,;;0.0;641;21
If he said them enough , the gods were sure to hear . " Ours by blood right , taken from us by treachery , but ours still , ours forever . You do not steal from the dragon , oh , no . The dragon remembers . ";he,the gods,;You,;0.261904761905;643;21
